Query,Clicks,Impressions,CTR,Position,Cluster
sv pain management,14,229,6.11,4.65,generic
ssm pain management madison wi,6,229,2.62,5.2,city-state
vitality pain clinic,7,228,3.07,9.86,clinic-name
neuroscience and pain institute,14,228,6.14,6.65,clinic-name
"1330 oak lane suite 202 lynchburg, va 24503",4,228,1.75,4.22,city-state
skyline pain management,4,226,1.77,8.67,generic
neuragenex,4,225,1.78,8.48,generic
carolina spine and pain lexington sc,5,223,2.24,6.39,city-state
spine and pain center bismarck nd,19,222,8.56,6.18,city-state
kansas pain specialists,7,222,3.15,13.38,city-state
"connecticut regional pain specialists, llc",5,221,2.26,6.49,city-state
pain centers near me,7,219,3.2,9.26,near-me
pain management rogers ar,8,218,3.67,8.38,city-state
lakeview spine yakima,5,217,2.3,6.74,generic
reid pain management richmond indiana,4,217,1.84,5.23,city-state
commonwealth pain management and wellness reviews,6,217,2.76,9.25,clinic-name
wade lukken,26,217,11.98,4.51,generic
suwanee pain management center inc,11,216,5.09,6.87,clinic-name
dr ritu varma,6,216,2.78,9.31,clinic-name
pain physicians of wisconsin layton ave,7,215,3.26,7.58,city-state
oncall pain reviews,5,214,2.34,11.6,generic
optimal pain and wellness van buren arkansas,4,214,1.87,5.8,city-state
west penn pain management,9,213,4.23,7.49,generic
trinity pain medicine associates,7,213,3.29,7.23,clinic-name
dr wilson chang,4,212,1.89,10.27,clinic-name
dr malinowski,4,212,1.89,6.29,clinic-name
uday uthaman,5,211,2.37,5.28,generic
lakewood pain clinic,5,211,2.37,8.46,clinic-name
newton and associates spine and pain,6,210,2.86,4.4,clinic-name
lydia ferrell,18,209,8.61,7.8,generic
oc james,13,208,6.25,4.73,generic
cox pain management springfield mo,4,207,1.93,7.95,city-state
dr joel friedman maui,6,207,2.9,6.23,clinic-name
interventional pain specialists crestview hills,6,206,2.91,9.5,clinic-name
jeremy romero,6,205,2.93,6.49,generic
eric dominguez md,14,204,6.86,5.27,city-state
pain clinic minot nd,11,202,5.45,6.09,city-state
ballard pain and wellness,6,202,2.97,10.7,clinic-name
mid america pain clinic reviews,6,201,2.99,6.37,clinic-name
dr shields jonesboro ar,5,200,2.5,8.85,city-state
dr. oliver james photos,12,200,6.0,4.9,clinic-name
michael grille,7,199,3.52,12.13,generic
aa spine and pain wasilla,8,196,4.08,5.42,generic
advanced pain management anderson,7,195,3.59,7.45,generic
pca pain care center reviews,8,194,4.12,7.01,clinic-name
vivek barclay,12,193,6.22,6.37,generic
lowell shih,7,193,3.63,5.88,generic
tidelands pain management market commons,10,192,5.21,5.48,generic
pain management wallingford,10,192,5.21,6.9,generic
dr berg louisville ky,8,192,4.17,4.49,city-state
vivek barclay md,6,190,3.16,7.19,city-state
howard quint,8,189,4.23,5.65,generic
dr el khatib attleboro ma,8,188,4.26,6.3,city-state
pain clinics near me accepting new patients,10,186,5.38,14.45,near-me
"vivek barclay, md",19,185,10.27,7.69,city-state
pain management minot nd,8,185,4.32,8.15,city-state
three rivers spine and pain medicine,6,183,3.28,7.79,generic
access pain solutions | muskogee pain management,5,183,2.73,5.66,generic
apg pain management,8,182,4.4,6.29,generic
friedman joel md,7,181,3.87,6.37,city-state
dr quint,6,180,3.33,7.56,clinic-name
kyle silva do,5,179,2.79,7.51,generic
louisiana pain physicians,6,178,3.37,9.8,city-state
ornette gaines,9,178,5.06,6.93,generic
600 ferris ave waxahachie tx,10,177,5.65,4.0,city-state
knox pain management,7,177,3.95,9.68,generic
southwest ohio pain management,8,176,4.55,5.59,city-state
procare poteau oklahoma,5,176,2.84,4.45,city-state
central valley pain management bakersfield,6,176,3.41,8.3,generic
dr joel friedman,5,175,2.86,8.59,clinic-name
pain management fort smith ar,5,175,2.86,14.89,city-state
dr james pain management,14,174,8.05,4.84,clinic-name
center for complex pain care photos,6,172,3.49,6.44,clinic-name
ubylee,6,172,3.49,11.45,generic
dimensions pain management longmont,5,172,2.91,8.12,generic
zeeshan tayeb md,6,172,3.49,12.3,city-state
advanced pain and spine institute,5,170,2.94,7.67,clinic-name
pain alternatives,5,169,2.96,7.73,generic
dr uday uthaman,6,169,3.55,5.53,clinic-name
jeffrey berg,8,168,4.76,4.99,generic
alb pain management & spine care,10,168,5.95,8.76,clinic-name
restored horizons,7,166,4.22,9.2,generic
suwanee pain management center,14,164,8.54,6.07,clinic-name
dr nichols pain management,8,164,4.88,4.21,clinic-name
gretchen wienecke md,16,162,9.88,5.22,city-state
dr de lara,6,162,3.7,4.81,city-state
pain management corbin ky,8,162,4.94,9.36,city-state
dr romankowski,5,161,3.11,6.33,clinic-name
water's edge yakima,5,157,3.18,5.69,generic
dr newton winchester tn,9,156,5.77,10.78,city-state
pain management danville va,8,156,5.13,9.47,city-state
dr allison gorski,6,156,3.85,9.79,clinic-name
springfield pain clinic,11,155,7.1,11.52,clinic-name
spine & pain associates photos,7,154,4.55,4.16,clinic-name
pain management taunton ma,11,154,7.14,7.63,city-state
908-474-9444,5,151,3.31,5.38,generic
dr fisher pain clinic,14,151,9.27,4.95,clinic-name
west penn institute for pain medicine,8,150,5.33,5.01,clinic-name
dr avni gupta,5,150,3.33,9.48,clinic-name
dr. moyse,6,150,4.0,8.65,clinic-name
jawad bhatti md richmond va,7,149,4.7,8.3,city-state
advance pain management of florida,5,149,3.36,6.8,city-state
johnson memorial pain clinic,5,148,3.38,9.3,clinic-name
advanced pain management milwaukee,7,147,4.76,12.1,generic
paul kramm,6,145,4.14,8.24,generic
open arms colorado springs,17,143,11.89,4.2,city-state
regina thurman,8,143,5.59,4.63,generic
pain institute of springfield,14,143,9.79,4.23,clinic-name
mark thimineur md,11,142,7.75,8.89,city-state
painpro specialists,8,141,5.67,7.7,clinic-name
carolina spine and pain centers sumter,7,138,5.07,4.43,clinic-name
hcmc pain clinic,6,138,4.35,7.72,clinic-name
north idaho pain center,5,138,3.62,7.03,city-state
dr cagampan,5,137,3.65,7.01,clinic-name
dr pettingell tulsa,6,137,4.38,6.61,clinic-name
asit upadhyay,9,137,6.57,5.34,generic
dr gerges pain management,8,137,5.84,9.23,clinic-name
advanced pain management mankato,16,137,11.68,4.77,generic
dr james henick,5,136,3.68,6.93,clinic-name
advanced pain specialists,7,136,5.15,13.28,clinic-name
"adam kemp, m.d.",5,136,3.68,5.54,generic
dr mark thimineur,14,136,10.29,6.47,clinic-name
dr cramer pain management,11,135,8.15,4.06,clinic-name
4916 medical blvd jonesboro ar,5,135,3.7,5.26,city-state
best pain management doctors near me,6,135,4.44,12.44,near-me
mid atlantic spine and pain physicians - newark,10,134,7.46,4.25,clinic-name
bhatti jawad w md,6,134,4.48,6.79,city-state
hans bone,6,131,4.58,8.4,generic
urgent care of lafayette,7,128,5.47,9.83,clinic-name
vitality pain management,5,127,3.94,8.17,generic
pain management johnson city tn,5,127,3.94,13.67,city-state
access pain solutions muskogee oklahoma,5,126,3.97,5.71,city-state
dr lutz pain management,10,125,8.0,4.42,clinic-name
pro care specialty clinic,7,125,5.6,4.89,clinic-name
dr. joseph alvarez photos,7,123,5.69,4.86,clinic-name
pain clinic huntington wv,5,122,4.1,8.23,city-state
honolulu pain management aiea,5,120,4.17,7.33,generic
dr shih,5,120,4.17,5.53,clinic-name
pain relief center louisville ky,9,119,7.56,6.8,city-state
2507 mineral springs ave,6,118,5.08,5.61,generic
dr thimineur pain management,9,117,7.69,5.21,clinic-name
cullman pain and wellness reviews,5,116,4.31,5.01,clinic-name
howard quint md,8,115,6.96,5.77,city-state
dr. tayeb,15,114,13.16,4.35,clinic-name
interventional pain and wellness institute,15,114,13.16,4.37,clinic-name
integrated pain care bedford nh,15,114,13.16,4.04,city-state
luke cramer,11,114,9.65,6.79,generic
dr mangieri,6,113,5.31,5.58,clinic-name
dr. kemp,7,113,6.19,4.12,clinic-name
dr gaines pain management,6,112,5.36,4.96,clinic-name
dr dominguez pain management,10,111,9.01,5.13,clinic-name
rutvij shah,6,110,5.45,6.78,generic
dr inamdar,9,110,8.18,8.18,clinic-name
carolina center for advanced pain management,5,107,4.67,10.13,clinic-name
dr welker columbia tn,10,106,9.43,5.34,city-state
dr downey pain management,6,106,5.66,5.31,clinic-name
pain management spartanburg sc,8,106,7.55,12.75,city-state
pain clinics clarksville tn,5,106,4.72,10.12,city-state
cambridge pain management,5,105,4.76,9.16,generic
beaumont center for pain medicine,7,105,6.67,5.97,clinic-name
pain management st marys ohio,6,103,5.83,5.47,city-state
integrative pain and psych care,6,103,5.83,4.15,clinic-name
stuart rosenblum,10,103,9.71,11.41,generic
dr lutz,10,100,10.0,10.11,clinic-name
nri pain management,5,100,5.0,5.75,generic
doc pain management - troy,7,100,7.0,4.88,generic
sakshi kaul,6,99,6.06,7.63,generic
dr wu pain management,5,98,5.1,11.18,clinic-name
dr cary,6,98,6.12,9.07,clinic-name
pain clinic cullman al,6,98,6.12,8.72,city-state
"pain management 360 charleston, wv",5,98,5.1,6.81,city-state
pain management springfield tn,8,98,8.16,8.88,city-state
pain management norwich ct,10,97,10.31,9.72,city-state
dr. jeffrey berg,6,97,6.19,4.84,clinic-name
pca pain clinic,5,96,5.21,7.73,clinic-name
dr kenneth finn,5,95,5.26,10.57,clinic-name
center for chronic pain management,20,95,21.05,6.64,condition
dr ford colorado springs,5,94,5.32,9.31,city-state
dr ghazi,6,93,6.45,6.69,clinic-name
brookhaven anesthesia and pain management,5,91,5.49,5.95,generic
"comprehensive pain specialists saginaw, mi",7,90,7.78,9.16,city-state
oregon interventional pain consultants,7,90,7.78,8.66,city-state
pain clinic richmond ky,6,90,6.67,13.38,city-state
stellate ganglion block near me,13,90,14.44,4.67,near-me
pain management denham springs,15,89,16.85,11.27,generic
dr peloquin manhattan ks,10,89,11.24,10.63,city-state
pain clinic cullman,7,88,7.95,7.34,clinic-name
nexus orthopedics santa fe,5,88,5.68,4.12,generic
forrest allen,5,88,5.68,10.33,generic
dr john lutz,9,88,10.23,5.5,clinic-name
dr kemp pain management,6,88,6.82,4.78,clinic-name
jason hernandez md,5,86,5.81,7.42,city-state
dr. pasupuleti,7,85,8.24,4.69,clinic-name
dr dominguez,5,85,5.88,5.32,clinic-name
nexus health orthopedics,7,84,8.33,5.14,clinic-name
dr lutz ms sports medicine,15,84,17.86,5.26,city-state
cullman pain & wellness photos,5,84,5.95,5.94,clinic-name
dr gretchen wienecke,7,83,8.43,5.41,clinic-name
pain clinic cambridge ohio,9,82,10.98,4.74,city-state
pain management doctors that prescribe narcotics,10,81,12.35,5.95,generic
pain management stockton,5,80,6.25,11.76,generic
mark thimineur,7,80,8.75,9.82,generic
dr paz pain management,5,79,6.33,10.86,clinic-name
dr michael grille,6,78,7.69,9.09,clinic-name
dr. rafi,8,77,10.39,6.55,clinic-name
michael sabia md,8,76,10.53,9.57,city-state
medical pain relief clinic,8,75,10.67,4.39,clinic-name
steven toscano,8,75,10.67,5.21,generic
merced pain management,5,75,6.67,8.35,generic
pain relief center of cape cod,5,74,6.76,8.08,clinic-name
pain management norfolk va,6,74,8.11,14.47,city-state
dr. james hunt,7,74,9.46,10.51,clinic-name
christopher stowe,8,74,10.81,6.23,generic
pain management hilo,6,73,8.22,13.84,generic
pain management cape cod,5,71,7.04,13.23,generic
dr edward doherty,5,68,7.35,6.76,clinic-name
lydia ferrell md,6,68,8.82,6.9,city-state
dr rosenblum pain management,9,67,13.43,8.82,clinic-name
comprehensive spine and pain management,8,67,11.94,6.64,generic
sena kihtir,5,67,7.46,6.73,generic
integrated pain treatment center,6,65,9.23,7.45,clinic-name
jeremy smitherman md,5,63,7.94,10.3,city-state
dr carey pain management,6,62,9.68,4.76,clinic-name
total pain treatment center middletown ct,6,61,9.84,5.16,city-state
free printable pain diary template,11,59,18.64,10.19,generic
pain mgt near me,5,58,8.62,10.21,near-me
rush pain treatment center,5,57,8.77,6.63,clinic-name
dr brown pain management,5,57,8.77,7.75,clinic-name
compass pain care,6,56,10.71,7.09,clinic-name
justin anderson md,5,56,8.93,6.38,city-state
vishwajit brahmbhatt,5,56,8.93,7.16,generic
columbia interventional pain center,10,56,17.86,4.14,clinic-name
umar cheema md,7,56,12.5,5.04,city-state
dr. john nelson,9,54,16.67,9.37,clinic-name
albuquerque pain management and spine care,6,53,11.32,9.6,clinic-name
pain clinic sioux city,5,53,9.43,14.17,clinic-name
powen hsu,5,50,10.0,9.46,generic
